u abs_error rel_error
-5.9375e-3 8.62678714146134051277561525786306284473709900915892177103803154705267933e-3 1.004103331184882834231775940849093962600353025720485452782125789939274771
-5.625e-3 8.16971006867697499869304089753741999994262970942444173241945888501115862e-3 1.00388797677618538563348350690629159697654910285073072622368932571971535
-5.3125e-3 7.71297079505372418257736791293891131107475395598997304574638393221032442e-3 1.003672554485877189479318692306973591121072722407722322621546113001655284
-5e-3 7.25656923107585718292445874753731412876976597256078583225182350157823359e-3 1.003457064324651524149827127457429977771726864813790409052503426722445439
-4.6875e-3 6.800505287311972589568140769033824954341739301261675161709421832437892253e-3 1.003241506303194945180502083562445573546619927439219817518347516071414562
-4.375e-3 6.34477887441489257201509520292759526411736743278213804792704698566070158e-3 1.0030258804321872919490878186920438224093110739715655206648718673757005
-4.0625e-3 5.889389903121557153936454570016589246593913588092715574778861364485066216e-3 1.002810186722301694353932206223454726586843607462754783380504892637736418
-3.75e-3 5.434338284252918653503343040910192757594198235881612162199820614091491343e-3 1.002594425184204579483403609601093058177955004230978012508867674754917489
-3.4375e-3 4.97962392871383628925428076301838942653716397528285684415478781266825702e-3 1.002378595828555678276386937439844971219171587533086589945044904562701058
-3.125e-3 4.52524674749297095118305813561245468473936726687549269001130730150782051e-3 1.002162698666008032173873783148974456187004906650535506888333957686132556
-2.8125e-3 4.071206651662680136736369211283273446816579712854699433735059618663275884e-3 1.00194673370720799976166152347529200847588937484834183983995049550427287
-2.5e-3 3.617503552378913051411174892298611635314182729005365394943682155885268355e-3 1.001730700962795263404176220654693175694526020178238237864232636408101229
-2.1875e-3 3.164137360881105873642446372807844987655797779143431927116170968912151193e-3 1.001514600443402835869434143220591604990751402392572186546193766913518921
-1.875e-3 2.711107988492077183672617357374532082117898089124115738428477481034852588e-3 1.001298432159657066945156690945957671520601414100865326085525814720293062
-1.5625e-3 2.258415346617923556094749967731507949357422146145688315850349251617130251e-3 1.001082196122177650046053479892448112470509366856848538146381229175142096
-1.25e-3 1.806059346747915315762093937732551767907878573998077910237874786351927608e-3 1.00086589234157762881228831410529323517964112136177976170724284732523488
-9.375e-4 1.354039900454392456757391695986866499054048316979276839357380532551849844e-3 1.000649520828463403699142741126015666194609580563929764793281734853551146
-6.25e-4 9.02356919392660724115953251360408647743591035457794665038497700502201095e-4 1.000433081593434738557891859196508247913106547333187075617734523960127382
-3.125e-4 4.510103153008878579971944331494718967812544077462014124642917301147369968e-4 1.000216574647084767207907014797319090568217607910035928043843692478160296
0 0 1
3.125e-4 4.506741146064217386820605757307346256782957963347736043027110659142330676e-4 0.999783357662760330371023330017892105143780493427923591507523044185361902
6.25e-4 9.010121165322445475689722138015231669172125959797317564406715815047636804e-4 0.999566647645939041389741152311571609753145753437333960474831337657320922
9.375e-4 1.35101409370888702596861282033540690406846821844357400193463770300717573e-3 0.999349869960102812293985309644181822291915522748240780672531247034971047
1.25e-3 1.800680133985422131119174656928467628063290775115518298265531275540648858e-3 0.9991330246158117250191110505878581315819374650717361261283446994072393786
1.5625e-3 2.25001032512867996570099211022505910657613543246464809505528789621948249e-3 0.9989161116236192707177668521552340710648523513991144214626972706795904336
1.875e-3 2.699004754823350405018441473053932647363501100602495598180069810856552289e-3 0.998699130994072356270992790469423249076659464983021580257832540841177134
2.1875e-3 3.147663510672085564151921975410017778341167542485625610712284592578882782e-3 0.998482082737711310790661866691728432562745472927160969899870279994802732
2.5e-3 3.59598668019560210537927256785212915921511465393281944270469145520049515e-3 0.998264966865069892113278666798460690271159412237702249602238488295431026
2.8125e-3 4.04397435083278338616532585667545028179733038252049631605843200577766181e-3 0.998047783386675293285149705236483976933058003783378676127945195825705545
3.125e-3 4.49162660994078144801764911493146846850054019897448329971029033781124334e-3 0.997830532313048149038939773991260134056040307999504357052893052593648453
3.4375e-3 4.938943544795118846505872441443538220717587194447529548938990918406028255e-3 0.997613213654702542261628590171082769332377261614693637851325503252399851
3.75e-3 5.3859252425897903227413559068540752579585338008893980870701524071316712e-3 0.9973958274221460104538820068466831390732746901188021108227319205626253304
4.0625e-3 5.832571790437364316613300906904337202074345339243429061645960448442488077e-3 0.997178373625879552180852023586294788791441050171075810802844757322171574
4.375e-3 6.278883275369084322076765934068747320817844578218306050085631401309160224e-3 0.9969608522763976335144198048924046051745465333163479661491045382360783126
4.6875e-3 6.724859784334970084787403574835748223984355623365710449612331854165317e-3 0.996743263384188194466895886577624902515029850016029061967774532130032426
5e-3 7.17050140420391864237709373685323261227878408730857744933110804580134406e-3 0.996525606959732655416191722013223516020755141848982323646871458953277963
