x abs_error rel_error
-4e-2 6.026146121874170727379632240588371085329328154507102221598709387440498574e-22 1.506938348548028712999470492794884258184281676878787549325257447585697591e-20
-3.9375e-2 5.73620060830653412089477162359851043149237007179363494042506477809770145e-22 1.457189359169023260399538771118132744121840683904333613651996808352050865e-20
-3.875e-2 5.457245266387317173858835763057490331448774058215221777653769852745712385e-22 1.408673867910081610278209444687980587411309586071990583930027354222602745e-20
-3.8125e-2 5.18881576754006413197009968119520657038199240325120053304224982845896643e-22 1.361330618980651247617094517668086702673668568002143252781681353643526454e-20
-3.75e-2 4.930487572268856469678370218416518294841545112779365852873311990813131655e-22 1.3151048919758833994192601942390321691490194485269888925247747596651064935e-20
-3.6875e-2 4.681871651546860811350816462187739409217469457104869203609019330166242646e-22 1.269947894576077519034191835977198797965019271714562213773340629567413981e-20
-3.625e-2 4.44261060880986992968426695683962981666476555956640181535497853382898193e-22 1.225816203033292667590505535368123517108675247464311343263177979007651797e-20
-3.5625e-2 4.212375170794519483391680196598416759608704610129699984468601220804277433e-22 1.182671247387478212305224705541215773030537965685981587191516471035001592e-20
-3.5e-2 3.990861017508218956965788636425669942729011420766783586467674715883514178e-22 1.140478838503699935991397090896315107184314339110212536043341446593920837e-20
-3.4375e-2 3.777785923564561402906352845752410248780278159400533552760996601204393292e-22 1.099208734166317751172102615407839149435973704159421753404841544394795799e-20
-3.375e-2 3.572887184967426062352784483075584559524943427986394834584844006042929218e-22 1.058834241605391609407944385963011517323369551263686906557711851252329014e-20
-3.3125e-2 3.375919307182456949336531920249291577428246573175786156637711633259797704e-22 1.0193318539652367251817301763765961752321433897306230247820246131609357684e-20
-3.25e-2 3.186651931999328415897106040068271693016247118542445959277497008092356216e-22 9.80680918355001687921029958474487326340131850471813407355833408643157943e-21
-3.1875e-2 3.004867982265378151160213123265054525890771196695189575353947161274038203e-22 9.428633332464871706697145887894341087827132754542364803086800466660795614e-21
-3.125e-2 2.830362005063924779009940003801827778862892642635598390212415281774985925e-22 9.058632731052424766587947946492753579261756934792418082326842365318859095e-21
-3.0625e-2 2.6629386953219601676176084047919400178902723888591716034265637493328829e-22 8.6966693825735577530419242981021681915029669671506002918611147426290386e-21
-3e-2 2.502411583164927899601793584972347371247130886835345121150177743113492502e-22 8.34262328106375210009113442510052119401444815466466706919166703883436404e-21
-2.9375e-2 2.34860186959392441096018758270699056377654815839877105287880600874280677e-22 7.99639035922545718602472107382982379877402211249902624471259590901829739e-21
-2.875e-2 2.201337396245786613142238870734823033287920898683926909477132410369519263e-22 7.65788063530103965020525300456324587900856688555478428492423598047088268e-21
-2.8125e-2 2.060451736112001073632001021301428482191029242845986271015599178722803956e-22 7.3270165431782477503235671603161778497440446801679699601049504864802932e-21
-2.75e-2 1.92578339314096993788593726397893133837775167027580976433868948902233401e-22 7.00373143093440402584807878996374249929029982347315129890274599582128589e-21
-2.6875e-2 1.797175099632625803827652892564493390989890762165593010445399724148017236e-22 6.687968213940422966203783255251513526379228936252728098595849856864116587e-21
-2.625e-2 1.674473201257372965386639666679472956768887711592951028138806639392970841e-22 6.379678169522072283714489190109043548343071754026577128309675819785188036e-21
-2.5625e-2 1.557527120395460260422511651350034637476257897671804595588468017018190382e-22 6.078819861014490816616922416688011271963868859692245636167181806196407953e-21
-2.5e-2 1.446188889300718807015441726969710768746892587493554861989583063523174366e-22 5.785358179847676779824591320645699657099334610181595056131834916489385324e-21
-2.4375e-2 1.340312745346626985318210253734552685535645408782876716373829771116727826e-22 5.49926349506630047904846946067470305516547496638152410573072891302991324e-21
-2.375e-2 1.239754781315339092344303714793135805501162066469640658049683790581447489e-22 5.220510900417608847871045751496496451471883007985601292622637544567707116e-21
-2.3125e-2 1.144372644344020313242240188321053537357998208491548202971996281423417488e-22 4.94907954983720810683901053934084701187735100460751159336930471530384929e-21
-2.25e-2 1.054025277749899339522195718907472231092508791815792524289045480483407103e-22 4.684952072824968043806606057022398921321176973239255968998470782983240438e-21
-2.1875e-2 9.685727005181546219012804191884179924533949437990960411149087067387366413e-23 4.42811406183301916352434058065298968998576006188899594834375437588511709e-21
-2.125e-2 8.87875819757307546375372886948454673057268152910788705257067920167312498e-23 4.178553624385644269280124618766707413459826879536775394075248976841621987e-21
-2.0625e-2 8.11796271907365613311973790604138746721648792958933901927268241367927059e-23 3.93626099321763067414627119930448953155443649002818081949877379162489262e-21
-2e-2 7.40196288928643999496901829991186937871966864548091494627061744833637342e-23 3.701228188254179691253603295528315737782081635244379663268305325662791356e-21
-1.9375e-2 6.729385861060408822462636902526409779161876532694660840692541415279323734e-23 3.473448724762597568863978130903594266906948972123469726213630484358629057e-21
-1.875e-2 6.09886268476539963584745465278675198573304028608029372614719795265089635e-23 3.252917362484547621247534231296732742975002469951058819257303428752306875e-21
-1.8125e-2 5.50902753228795281567889158132381547810749203617599769928538648245498174e-23 3.039629891008457728801746233054008153506207921431525569062014752795273113e-21
-1.75e-2 4.958517057346943346159638347919963380947189571111019510174888546212700975e-23 2.833582947065581179559424241969883841679631525144636643503021603485920191e-21
-1.6875e-2 4.445969871556146410742880173387814765056686487906196532171213654198996507e-23 2.634773859831032315940818460706466378934160483840372336319004181715633076e-21
-1.625e-2 3.970026118224481455705255653962316822019597807783954108506953171658181937e-23 2.44320052068369173652565272692058098596869449680016672240725854865748065e-21
-1.5625e-2 3.529327128200725684735305554530755224093186522367213015633430198967236044e-23 2.258861274227028775323844080848306968113604752271174864819135512192922876e-21
-1.5e-2 3.122515144154472434934831511634847647307061021257068028990521161482990144e-23 2.08175482769745133129075888995897162467102920036633433729823148944188041e-21
-1.4375e-2 2.748233101554947354309264952158954290164551448485664323206459137806217732e-23 1.911880176188594344513901634202361143201087531998605722473938564689590735e-21
-1.375e-2 2.405124456279332745016422442420580644947925281352845587677947728970725712e-23 1.749236541399827620364678206137681897511090734090543786044738332710271454e-21
-1.3125e-2 2.091833050267266491415253169752143386720491016470235677218949476471565917e-23 1.593823321876030415507542105844409784506970372724206661383457036177312694e-21
-1.25e-2 1.807003007952386931475598895931604486036727016614391065771196446785629584e-23 1.445640052944173172161149111413725398237138679550821071900951474145329254e-21
-1.1875e-2 1.549278657358830761097803440613538953225535733507323606329869771650766425e-23 1.304686374771294804058965654909387307101141885619901664958651678651679383e-21
-1.125e-2 1.317304470763531117292560205655726439804503241400139916835344082153033335e-23 1.170962007168895623130316272685170284898224762145324665967427693769957257e-21
