x abs_error
-0.6440264939859076138848418935722980912604197268718966932998633 9.06558825494653791468155087471110824617959772127587323600182e-6
-0.628318530717958647692528676655900576839433879875021164194989 7.62867784650883188827875414177625609519269503656283866636677e-6
-0.6126105674500096815002154597395030624184480328781456350901143 6.391443684773922812962626446786378625240192549407479150605445e-6
-0.5969026041820607153079022428231055479974621858812701059852395 5.330234464996297670251085890149923981543671550891820135724435e-6
-0.5811946409141117491155890259067080335764763388843945768803647 4.42368975924201051452814694161148061577843378690234841013005e-6
-0.56548667764616278292327580899031051915549049188751904777549 3.652570365035028969705853894780398740306497191502338697155083e-6
-0.549778714378213816730962592073913004734504644890643518670615 2.999597096934094868004459209278039372144665975440466588649946e-6
-0.534070751110264850538649375157515490313518797893767989565741 2.449297824860308508535378310263719515819819687931647054976085e-6
-0.518362787842315884346336158241117975892532950896892460460866 1.987862560960883671098177486356930032442992809379758568622203e-6
-0.502654824574366918154022941324720461471547103900016931355991 1.603006394808664653300893383010097036536581754882061778016187e-6
-0.4869468613064179519617097244083229470505612569031414022511164 1.283840074800537187002598793436152633654776146153843102848461e-6
-0.4712388980384689857693965074919254326295754099062658731462415 1.020748031731279925542394071560440001797329847021787929012275e-6
-0.455530934770520019577083290575527918208589562909390344041367 8.052736386831577629196856941489738285264012598715963117618585e-7
-0.4398229715025710533847700736591304037876037159125148149364922 6.300114995861056161103094683289948293598151929173104208014604e-7
-0.4241150082346220871924568567427328893666178689156392858316174 4.885065570691320057619120712630247780639114693596071164793536e-7
-0.408407044966673121000143639826335374945632021918763756726743 3.751598085410137012716141463149050601490051993443081931256826e-7
-0.392699081698724154807830422909937860524646174921888227621868 2.851404178078709997362693078866231119790902872525592345536024e-7
-0.3769911184307751886155172059935403461036603279250126985169932 2.143040079572101814417993049201939249125833669437295295799695e-7
-0.3612831551628262224232039890771428316826744809281371694121187 1.591169197128846760578289012725539692985429355921610723003383e-7
-0.345575191894877256230890772160745317261688633931261640307244 1.1658621799353578776942718671967031589864151102612332833913725e-7
-0.329867228626928290038577555244347802840702786934386111202369 8.41952279887906312115662516669953373772986835532210982021822e-8
-0.3141592653589793238462643383279502884197169399375105820974946 5.984438070316916343040978461665973149366586730599662551589794e-8
-0.2984513020910303576539511214115527739987310929406350529926198 4.17971466076204871468173098121475510693723672506439104944439e-8
-0.282743338823081391461637904495155259577745245943759523887745 2.863083478319417806349906701492295294833644160380161926852532e-8
-0.2670353755551324252693246875787577451567593989468839947828704 1.919203374086500856167295833306957612934453265105731594311819e-8
-0.2513274122871834590770114706623602307357735519500084656779956 1.2556468956265304173692892529342577209626129323552945129838345e-8
-0.2356194490192344928846982537459627163147877049531329365731208 7.9930510683208544835301007338537245171911655732836636059803e-9
